Class,Object,AltName,Mstar,rh,C5,Age,FeH
GC,NGC104,47Tuc,6.46,7.1,0.92,12.8,-0.76
GC,NGC288,Melotte3,0.46,9.8,0.05,12.2,-1.32
GC,NGC362,Dunlop62,2.5,3.5,0.72,10,-1.26
GC,NGC1261,Caldwell87,3.41,5.5,0.62,10.24,-1.08
GC,NGC1851,Dunlop508,5.51,3.05,1.81,7.64,-1.13
GC,NGC1904,M79,1.45,4.1,0.50,12.0,-1.58
GC,NGC2298,Dunlop578,0.85,3.1,0.16,12.4,-1.98
GC,NGC2808,Dunlop265,12.3,3.8,3.24,11.2,-1.18
GC,NGC3201,Dunlop445,1.1,7.5,0.15,11.1,-1.51
GC,NGC4590,M68,1.07,7.7,0.14,12.7,-2.27
GC,NGC4833,Dunlop164,4.10,7.9,0.52,12.5,-1.71
GC,NGC5024,M53,8.26,11.6,0.71,12.7,-1.86
GC,NGC5053,NONE,1.25,22.5,0.056,12.3,-1.98
GC,NGC5272,M3,4.68,11.7,0.40,11.4,-1.34
GC,NGC5286,NONE,7.13,4.2,1.69,12.5,-1.41
GC,NGC5466,NONE,1.79,18.2,0.098,13.6,-2.20
GC,NGC5897,NONE,2.11,12.7,0.17,12.3,-1.73
GC,NGC5904,M5,3.89,6.6,0.59,11.5,-1.33
GC,NGC5927,NONE,3.38,4.2,0.81,12.7,-0.64
GC,NGC5986,NONE,5.99,5.04,1.19,12.2,-1.35
GC,NGC6093,M80,5.02,3.02,1.66,12.5,-1.47
GC,NGC6101,Caldwell107,1.0,8.00,0.13,12.5,-1.76
GC,NGC6121,M4,1.17,4.7,0.25,13.1,-1.98
GC,NGC6139,NONE,3.80,4.2,0.90,11.6,-1.58
GC,NGC6144,NONE,1.69,7.17,0.24,13.8,-1.56
GC,NGC6171,M107,1.17,5.5,0.21,13.4,-1.03
GC,NGC6205,M13,7.75,5.93,1.31,11.7,-1.33
GC,NGC6218,M12,0.74,4.2,0.18,13.4,-1.43
GC,NGC6254,M10,1.53,4.2,0.36,12.4,-1.57
GC,NGC6304,NONE,2.17,4.14,0.52,13.6,-0.66
GC,NGC6341,M92,4.89,4.19,1.17,13.2,-2.1
GC,NGC6352,NONE,0.37,5.68,0.065,12.7,-0.70
GC,NGC6362,NONE,0.81,7.70,0.11,13.6,-0.99
GC,NGC6366,NONE,0.30,5.05,0.058,13.3,-0.73
GC,NGC6388,NONE,12,2.5,4.8,11.7,-0.45
GC,NGC6397,NONE,1.1,3.3,0.33,13.4,-1.99
GC,NGC6441,NONE,9.55,3.3,2.92,11.2,-0.44
GC,NGC6496,NONE,2.00,5.70,0.35,12.4,-0.70
GC,NGC6535,NONE,0.20,2.86,0.070,10.5,-1.51
GC,NGC6541,NONE,5.72,3.93,1.45,12.9,-1.53
GC,NGC6584,NONE,3.03,4.87,0.62,11.3,-1.30
GC,NGC6624,NONE,2.57,3.20,0.80,12.5,-0.70
GC,NGC6637,M69,2.00,3.66,0.55,13.1,-0.78
GC,NGC6652,NONE,1.09,2.37,0.46,12.0,-0.97
GC,NGC6656,M22,6.44,5.32,1.21,12.7,-1.49
GC,NGC6681,M70,1.79,3.16,0.57,12.8,-1.35
GC,NGC6715,M54,12.9,10.7,1.20,10.8,-1.25
GC,NGC6717,NONE,0.48,2.39,0.20,13.2,-1.09
GC,NGC6723,NONE,3.57,6.58,0.54,13.1,-0.96
GC,NGC6752,NONE,2.82,3.8,0.75,13.8,-1.55
GC,NGC6779,M56,2.30,5.11,0.45,13.7,-2.00
GC,NGC6809,M55,0.55,7.6,0.07,13.8,-1.93
GC,NGC6838,M71,0.20,3.3,0.06,12.7,-0.82
GC,NGC6934,NONE,2.95,5.32,0.55,11.1,-1.32
GC,NGC6981,M72,1.68,7.82,0.21,10.9,-1.21
GC,NGC7078,M15,5.13,5.1,1.00,13.6,-2.33
GC,NGC7089,M2,5.75,6.03,0.95,11.8,-1.31
GC,NGC7099,M30,1.45,4.1,0.35,14.6,-2.33
GC,Ruprecht106,NONE,0.68,11,0.06,12,-1.5
GC,Terzan7,NONE,0.39,8.7,0.04,7.4,-0.12
GC,Palomar12,NONE,0.28,16,0.024,8.6,-0.81
